mofrad,jam
ادب,اداب
ادیب,ادبا
اثر,اثار
اسیر,اسرا
اسم,اسامی
اسطوره,اساطیر
امیر,امرا
امر,اوامر
امام,ائمه
اصل,اصول
افق,افاق
بیت,ابیات
تاجر,تجار
تصویر,تصاویر
جد,اجداد
جانب,جوانب
جزیره,جزایر
جبل,جبال
جریمه,جرایم
حادثه,حوادث
حشم,احشام
حکیم,حکما
حکم,احکام
حاکم,حکام
حاشیه,حواشی
حس,حواس
حق,حقوق
حرف,حروف
طرف,اطراف
عمق,اعماق
عالم,علما
علم,علوم
علامت,علائم
علت,علل
عقید,عقاید
عمل,اعمال
عید,اعیاد
عنصر,عناصر
عاطفه,عواطف
عضو,اعضا
عبارت,عبارات
عجیب,عجایب
فقیه,فقها
فن,فنون
فکر,افکار
فرضیه,فرایض
قاعده,قواعد
قرن,قرون
قانون,قوانین
قله,قلل
قطر,اقطار
کتاب,کتب
مثل,امثال
معدن,معادن
حقیقت,حقایق
خزینه,خزائن
خبر,اخبار
دوره,ادوار
دین,ادیان
دفتر,دفاتر
ذخیره,ذخایر
رفیق,رفقا
رای,ارا
رسم,رسوم
رابطه,روابط
رمز,رموز
رُجل,رجال
رقم,ارقام
زاویه,زوایا
زعیم,زعما
سانحه,سوانح
سلطان,سلاطین
شعر,اشعار
شاعر,شعرا
شغل,مشاغل
شبح,اشباح
شکل,اشکال
شرط,شروط
شاهد,شواهد
صنعت,صنایع
صورت,صور
صوت,اصوات
ضلع,اضلاع
طفل,اصفال
طبیب,اطبا
موج,امواج
مرکز,مراکز
موقع,مواقع
مصرف,مصارف
معرفت,معارف
مبحث,مباحث
ماده,مواد
معبد,معابد
مسجد,مساجد
معبر,معابر
مظهر,مظاهر
منظره,مناظر
مرض,امراض
مورد,موارد
مرحله,مراحل
مفهوم,مفاهیم
منبع,منابع
مکان,اماکن
مسئله,مسائل
مرتع,مراتع
محفل,محافل
منزل,منازل
منطقه,مناطق
مجلس,مجالس
وسیله,وسایل
وکیل,وکلا
وزیر,وزرا
ولی,اولیا
وصی,اوصیا
فقیر,فقرا
مصیبت,مصائب
